feature,mean_ap_drop,std_ap_drop
size,0.5731123710590614,0.0031940834861203197
fees,0.03454243250955106,0.003828049004205989
in_BTC_min,0.022054996954339805,0.001947789492358781
num_output_addresses,0.020380294906704566,0.0019237314960118992
out_BTC_min,0.01742828513947973,0.0012603957663787338
g_pagerank_scaled,0.015753073887283198,0.0022425693502378793
g_out_degree,0.0099831188123047,0.0005482809242722338
g_neighbor_degree_mean,0.008548933577941176,0.00230335055276501
g_component_size,0.007623980738733271,0.0005370731951177334
in_BTC_median,0.005019656511504748,0.0010258644235375753
g_component_density,0.00473612921403177,0.0006450752145743937
num_input_addresses,0.0036598342756926083,0.00024588601667864854
in_BTC_mean,0.0010021345097319296,0.0006353281087012314
g_in_degree,0.0008905788858221501,4.5320270147077e-05
out_BTC_median,0.0005491394180065315,0.00044350710264585475
g_total_degree,1.4721020515362504e-05,4.2599423586980334e-05
g_reciprocal_fraction,0.0,0.0
out_BTC_total,-5.278349793869097e-05,4.965680849649257e-05
out_BTC_max,-0.001997721840977129,0.0011890964394599066
in_BTC_max,-0.005646210836959227,0.0007502995969264317
total_BTC,-0.009602462432961664,0.0008901688280634906
out_BTC_mean,-0.028854494263083657,0.00038792620421906475
in_BTC_total,-0.02991960087370364,0.0020929127831025305
