scope,capacity_fraction,reviewed,known_illicit,known_licit,unknown,precision_at_k_known,recall_at_k_known,precision_lower_bound_all,precision_upper_bound_all,experiment_id,split
labeled_only,0.01,96,10,86,0,0.10416666666666667,0.009633911368015413,0.10416666666666667,0.10416666666666667,named_logistic_tx,validation
labeled_only,0.02,185,10,175,0,0.05405405405405406,0.009633911368015413,0.05405405405405406,0.05405405405405406,named_logistic_tx,validation
labeled_only,0.05,456,25,431,0,0.05482456140350877,0.024084778420038536,0.05482456140350877,0.05482456140350877,named_logistic_tx,validation
labeled_only,0.1,905,73,832,0,0.08066298342541436,0.07032755298651253,0.08066298342541436,0.08066298342541436,named_logistic_tx,validation
labeled_only,0.2,1804,390,1414,0,0.21618625277161863,0.37572254335260113,0.21618625277161863,0.21618625277161863,named_logistic_tx,validation
all_transactions,0.01,368,11,218,139,0.048034934497816595,0.010597302504816955,0.029891304347826088,0.4076086956521739,named_logistic_tx,validation
all_transactions,0.02,732,16,382,334,0.04020100502512563,0.015414258188824663,0.02185792349726776,0.4781420765027322,named_logistic_tx,validation
all_transactions,0.05,1821,69,818,934,0.0777903043968433,0.06647398843930635,0.03789126853377265,0.5507962657880285,named_logistic_tx,validation
all_transactions,0.1,3637,260,1194,2183,0.17881705639614856,0.2504816955684008,0.07148748968930436,0.6717074511960407,named_logistic_tx,validation
all_transactions,0.2,7269,670,1853,4746,0.26555687673404677,0.6454720616570327,0.09217223827211446,0.7450818544504059,named_logistic_tx,validation
labeled_only,0.01,117,3,114,0,0.02564102564102564,0.0047169811320754715,0.02564102564102564,0.02564102564102564,named_logistic_tx,test
labeled_only,0.02,229,5,224,0,0.021834061135371178,0.007861635220125786,0.021834061135371178,0.021834061135371178,named_logistic_tx,test
labeled_only,0.05,564,13,551,0,0.02304964539007092,0.020440251572327043,0.02304964539007092,0.02304964539007092,named_logistic_tx,test
labeled_only,0.1,1125,69,1056,0,0.06133333333333333,0.10849056603773585,0.06133333333333333,0.06133333333333333,named_logistic_tx,test
labeled_only,0.2,2243,265,1978,0,0.1181453410610789,0.4166666666666667,0.1181453410610789,0.1181453410610789,named_logistic_tx,test
all_transactions,0.01,471,6,315,150,0.018691588785046728,0.009433962264150943,0.012738853503184714,0.33121019108280253,named_logistic_tx,test
all_transactions,0.02,938,14,552,372,0.024734982332155476,0.0220125786163522,0.014925373134328358,0.4115138592750533,named_logistic_tx,test
all_transactions,0.05,2337,38,1107,1192,0.03318777292576419,0.059748427672955975,0.016260162601626018,0.5263157894736842,named_logistic_tx,test
all_transactions,0.1,4670,188,1742,2740,0.09740932642487046,0.29559748427672955,0.04025695931477516,0.6269807280513918,named_logistic_tx,test
