tx_id,visible_in_degree
1076,1
2534,0
3181,1
3321,1
3889,0
5473,1
6415,1
6418,97
7952,1
7954,0
9334,1
9351,1
9363,1
9372,1
9379,1
9381,1
9460,1
9466,82
9551,1
9562,1
10247,1
10254,31
10280,6
10452,1
11108,1
11597,1
11638,1
12051,3
12068,6
13646,50
16134,1
16421,0
17122,1
18589,0
18810,1
28907,1
29253,1
29272,1
29339,1
29777,1
29786,1
32496,0
33775,1
39370,1
39382,1
39994,0
44658,17
44664,9
44703,6
45096,0
45294,1
45766,98
47299,0
47414,0
51816,1
52635,0
58945,1
60857,0
62455,1
65253,0
65879,0
68869,0
70875,1
71198,1
71201,1
72958,0
73958,0
74044,0
75160,1
75163,1
75165,1
84810,0
87778,1
89273,1
96910,1
102570,0
104216,0
113780,1
121630,0
121959,1
122326,0
127339,1
127342,1
130932,0
132791,0
134715,0
134746,0
134767,0
134785,0
134789,2
134922,0
135329,0
136929,0
138146,0
141445,1
143435,0
143705,0
146673,0
147421,0
147434,1
147449,1
148681,0
163032,2
167011,1
169286,1
172562,24
174370,1
180735,0
181624,0
183452,1
183691,1
183721,0
185814,1
187079,0
188788,1
189229,1
192081,1
192947,1
193173,1
195142,0
196443,1
199082,1
199785,1
199792,1
199819,0
200412,1
201844,1
209598,0
213202,0
213838,0
214342,2
214899,0
215305,1
223263,1
223265,0
227099,1
235586,1
237489,0
245992,1
248254,0
264059,0
267167,0
267260,2
267262,2
268186,1
269873,0
272834,1
278134,0
281804,1
286634,1
288025,1
293323,1
293346,1
295623,1
311767,1
312589,2
312601,1
314019,0
314705,0
316862,1
324073,0
326843,1
327038,0
328838,0
331239,1
331848,0
332925,1
332928,0
333180,1
333469,3
344903,1
346493,1
346890,1
350864,2
362808,0
376996,1
377642,0
385421,1
391137,0
398967,1
399523,0
401547,1
407867,1
411947,0
416248,0
423817,1
424786,1
426765,0
427963,1
432545,0
433530,0
435833,1
436344,1
436346,1
439017,1
439018,1
447793,1
450096,1
459148,0
461167,0
461289,1
464474,0
466352,1
475947,1
488266,1
489881,0
490390,0
490393,0
490400,0
490419,0
490439,0
490440,0
490442,0
494109,2
494949,1
504131,0
505691,1
505722,1
515381,1
515758,0
515761,1
516531,1
516532,1
517104,1
520060,1
533162,1
538213,1
549558,0
549581,1
557601,1
559925,1
560216,0
563635,0
565334,1
569900,0
586751,0
592162,1
592294,2
593425,1
593446,1
597793,11
607145,1
611515,1
615165,0
615274,1
618291,0
628769,1
630850,0
632831,1
632832,0
632833,1
632834,1
632836,1
635415,0
642998,1
643539,0
646566,0
648193,1
658042,0
658316,0
658523,0
659872,1
659917,1
667148,0
669678,0
684075,1
686329,1
691989,1
692142,1
692149,0
694829,0
705092,1
705705,1
707060,1
707637,1
708454,0
709696,0
710390,1
711641,2
712484,0
714973,1
719345,1
719349,0
721686,1
723464,1
723904,1
724443,1
724580,1
725171,0
725176,1
725203,19
729302,0
730020,0
732994,5
734964,0
735881,0
736448,0
736905,1
736907,1
738120,1
743153,1
743499,1
743689,1
744045,1
752973,1
755602,0
755990,1
757051,0
757859,7
757875,1
758942,1
759036,0
759728,1
760733,1
766177,0
770141,1
770539,0
772431,1
773613,0
774002,1
776511,1
777480,1
792948,1
793584,1
795670,0
797403,0
797419,0
804767,0
805625,1
805909,1
808409,0
809149,1
810718,1
811415,5
814845,0
827907,0
828482,0
834972,1
843185,1
844152,0
845723,0
847323,0
848971,0
850645,0
852232,0
852350,0
860310,1
862692,1
864126,1
864933,1
866821,1
870725,1
873437,1
873467,1
880701,1
880825,0
880834,1
884950,1
886996,2
890032,1
890133,1
894326,1
898054,0
905123,1
905432,0
909347,1
915064,1
915089,1
915093,1
915119,1
915126,2
918844,1
924065,1
929579,0
929636,0
938571,0
939393,1
940235,1
940881,1
944074,1
946067,1
946073,1
953812,0
962415,1
964011,1
970318,0
971497,1
978887,0
978934,0
989529,0
990267,1
991424,1
992596,1
992979,2
993002,1
995447,1
996158,1
1001114,0
1003000,1
1003609,0
1005183,0
1005186,1
1007082,2
1009583,1
1009587,1
1009594,1
1011690,1
1013391,1
1034263,1
1041617,1
1044558,1
1044561,1
1048060,0
1050220,0
1050841,1
1052068,0
1054055,1
1059207,0
1061125,0
1061971,1
1063451,1
1066031,1
1066033,1
1066281,1
1071758,0
1071985,1
1088383,0
1103451,0
1104192,0
1104221,1
1108512,0
1112981,0
1116757,1
1119474,1
1122071,0
1126385,1
1127922,0
1134243,0
1134443,1
1153751,1
1154526,1
1162551,0
1173126,1
1176536,1
1180975,1
1183087,2
1192279,0
1195632,0
1212416,1
1219660,1
1232837,1
1234524,0
1239842,1
1239850,1
1241223,1
1246940,1
1255894,1
1255910,1
1255926,1
1260460,1
1260557,0
1261936,1
1262280,1
1266042,1
1272315,0
1275118,0
1276249,0
1280460,1
1282678,1
1282679,1
1282693,1
1282720,1
1283636,0
1286098,1
1286673,1
1289828,0
1290223,1
1299378,1
1299444,1
1300108,1
1300484,0
1300866,0
1314151,1
1314463,1
1314464,1
1314467,1
1314469,0
1314756,1
1314774,1
1314792,1
1314830,1
1314835,1
1314836,1
1315478,0
1315771,0
1317133,1
1317331,0
1319500,0
1321992,1
1321993,1
1321994,0
1322012,1
1322014,0
1338889,1
1340327,1
1340546,1
1341288,1
1342246,1
1343295,0
1347452,1
1347516,0
1348626,1
1349907,1
1351021,1
1351110,16
1360579,0
1363087,1
1364199,1
1367535,1
1367537,1
1367538,1
1367540,1
1376202,1
1377838,0
1377839,0
1377967,6
1377969,1
1377970,1
1377971,1
1380777,0
1386449,1
1386485,0
1389412,1
1393186,1
1393191,1
1393275,1
1393277,4
1393280,1
1393458,0
1393459,1
1393547,0
1396330,0
1404240,1
1408610,1
1408612,1
1409301,1
1409302,0
1409303,5
1411949,1
1411978,0
1413134,0
1414440,0
1416324,0
1425558,1
1427839,1
1429615,1
1429839,1
1429934,1
1429938,1
1429939,1
1430129,1
1430130,0
1430131,1
1430440,0
1430679,1
1430681,7
1430686,1
1431029,1
1431031,1
1431033,1
1434321,0
1434324,1
1434533,0
1435212,0
1435388,0
1435389,1
1435393,1
1435398,1
1435399,1
1435402,1
1437191,1
1437193,1
1437194,1
1437197,9
1437200,1
1437203,1
1437206,1
1437209,1
1438395,1
1438396,1
1438443,0
1438445,1
1438451,1
1439076,0
1439078,0
1439512,1
1439713,1
1440793,0
1440796,0
1441177,1
1441180,1
1441181,1
1442175,1
1443653,0
1443657,1
1443660,1
1445198,0
1445201,1
1445203,1
1446978,1
1446982,4
1452053,0
1454780,84
1455042,0
1455113,0
1456687,1
1462426,0
1464385,0
1467120,0
1494460,2
1494462,1
1503261,0
1505035,1
1511111,1
1511133,1
1517870,0
1518045,0
1518406,1
1519430,1
1522922,10
1525280,1
1525281,1
1528026,0
1532109,1
1533983,0
1543164,0
1548880,0
1552366,1
1552384,0
1553767,0
1567574,0
1567673,0
1571950,2
1573310,1
1574511,1
1574896,0
1574945,1
1574966,1
1582516,1
1582950,1
1583848,1
1585908,9
1595982,0
1597877,0
1599204,0
1603064,1
1603194,1
1603202,1
1603210,1
1603222,1
1605113,0
1607517,1
1608195,0
1610924,1
1618209,1
1619147,0
1627209,0
1628986,1
1629658,2
1630269,1
1631119,0
1632677,1
1634059,9
1636919,1
1637503,0
1641657,0
1649540,1
1660423,4
1666721,0
1666726,0
1669730,0
1674489,1
1674928,1
1674935,1
1681527,0
1683483,1
1684622,1
1698383,1
1699548,1
1701690,0
1710610,1
1713432,1
1717382,1
1720404,21
1721304,0
1722540,0
1725015,1
1725570,1
1729453,0
1729614,1
1729617,0
1729631,2
1731587,1
1732946,0
1739315,0
1743942,1
1744093,0
1744684,2
1745268,1
1752606,1
1753436,1
1754272,1
1754564,0
1757629,0
1757846,0
1767150,0
1769429,1
1776781,0
1778033,0
1785264,1
1787201,7
1787219,2
1788698,1
1802943,0
1803657,1
1803658,1
1803867,0
1804435,0
1804439,0
1804442,1
1804445,1
1804446,1
1804639,1
1804640,1
1804830,1
1804832,1
1804835,1
1804837,1
1805067,1
1805069,1
1805107,1
1805108,1
1805109,1
1805110,1
1805309,1
1805313,1
1809374,1
1809376,1
1809394,1
1809776,0
1809797,1
1810621,0
1812418,0
1812420,1
1812422,1
1812423,1
1812424,1
1813316,0
1813385,1
1813992,0
1814051,1
1814547,1
1820160,1
1820459,1
1835778,1
1838651,0
1839521,1
1841057,1
1841829,0
1841871,0
1842480,0
1842492,1
1842515,1
1842523,1
1842803,1
1842885,0
1842896,2
1843194,1
1843325,1
1843341,1
1843356,1
1843365,1
1843372,1
1843378,1
1843382,1
1843400,1
1843769,0
1843876,1
1844160,1
1844173,1
1844204,1
1848064,0
1848554,0
1848637,0
1851761,0
1851801,0
1852527,0
1852545,0
1852829,0
1853181,0
1854409,0
1854538,0
1854629,0
1854649,0
1855142,1
1857358,0
1857383,0
1858566,1
1859446,0
1862249,0
1862664,0
1863327,1
1863650,0
1863668,0
1864291,0
1865993,0
1866886,1
1867192,0
1867423,1
1867711,0
1868167,0
1869355,0
1869364,1
1869366,1
1869372,1
1869377,1
1869382,1
1869391,1
1869400,1
1869408,1
1869842,1
1870717,1
1871678,1
1871687,1
1874227,0
1874538,1
1875288,0
1876609,0
1876610,1
1876611,1
1876617,1
1876620,4
1876622,1
1876628,1
1876630,1
1876642,1
1877747,1
1877925,1
1879061,1
1879066,3
1879697,1
1880111,1
1885253,0
1885756,2
1885768,1
1887607,1
1891081,0
1898405,1
1904698,1
1909683,1
1910315,1
1910612,1
1910619,1
1910851,1
1910858,1
1910887,1
1911119,0
1913117,0
1917252,1
1917265,1
1917957,1
1917972,1
1917983,1
1921498,1
1921500,1
1932644,1
1946706,1
1947734,1
1948502,1
1949234,0
1949250,1
